Date,Time,Location,Operator,Flight,Route,ACType,Registration,cn/ln,Aboard,AboardPassangers,AboardCrew,Fatalities,FatalitiesPassangers,FatalitiesCrew,Ground,Summary
12/26/1958,12:52,"Salisbury,Zimbabwe(Harare,Zimbabwe)",UnionAeromaritimedeTransport,736,Johannesberg-Salisbury-Brazzaville-Nice-Paris,DouglasDC-6B,F-BGTZ,43827/337,70,63,7,3,3,0,0,"Theaircrafttookoffintoheavythunderstorms,wasnotabletomaintainheightandairspeedandcrashedtotheground.Theaircraftstruckthegroundshortlyaftertakeoffasaresultofanuncontrollablelossofairspeedandheightduetoasuddensquallaccompanyingtheonsetofathunderstorm."
01-08-1959,20:32,"Mt.Holston,Tennessee",SoutheastAirlines,308,Nashville-Knoxville-Tri-CityAport,DouglasDC-3,N18941,2007,10,7,3,10,7,3,0,"TheaircraftstrucktheslopeofMtHolston,located15milesfromtheairportduringanILSapproachtoTri-CityAirport.Pilot'sfailuretoidentifyanintersectionproperly,resultinginflying15milesbeyondtheoutermarkeranddescendingtoanalititudetoolowtoclearhighterrain.Aninoperativecompasswasnotenteredintotheaircraftlog."
01-11-1959,11:17,"RiodeJanerio,Brazil",Lufthansa,502,Hamburg-Frankfurt-Paris-Lisbon-Dakar-Senegal-RioJanerio,LockheedL1049GSuperConstillation,D-ALAK,4602,39,29,10,36,29,7,0,"TwentyminutesoutofRiodeJanerio,thecrewwasclearedtodescendfrom14,000to10,000feet.AfterreachingKXNDB(waypoint)theywereclearedtodescendto3000ft..Galeaoaapproachwascontactedandnormalpositionreportsweremade.AstheplanedescendedoverGuanabaraBayinrain,theextendednosewheelstruckthewater.Thecrewtriedtocontinuetheapproach,buttheaircraftcrashednearFlecheirasBeach,shortoftherunway.Theactualcauseoftheaccidentwasneverdeterminedhowever,themostprobablecausewaspiloterrorindescendingbelowtheminimumaltitudeonfinalapproach.Aircrewfatiguewasconsideredtobeacontributingfactor.CrewflighttimeexceededtheBrazilianlimits,butdidnotexceedtheGermanlimitations."
1/16/1959,21:40,"OffMardelPlata,Argentina",AustralLineasAeras(Argentina),205,BuenosAires-MardelPlata,CurtissC-46A-50-CU,LV-GED,30514,52,47,5,51,46,5,0,"Theaircraftovershotrunwayandamissedapproachprocedurewasinitiated.Theplanegraduallydescendedintotheoceanjustoffshore.Thepilotwasnotfamiliarwiththeairportandhemiscalculatedduringtheinstrumentapproachprocedure.Thepilot'stemporarilyconfusedmentalstatewhenhefoundhimselfinthiscriticalsituation,effectuatinghiscapabilityandskill."
1/18/1959,3:33,"Stalingrad,Russia",Aeroflot,205,Voronezh-Stalingrad,IlyushinIL-14P,CCCP-41863,146000701,25,20,5,25,20,5,0,Crashedinasnowcoveredfieldwhileattemptingtoland.Causeundetermined.Possiblyhitbymachinegunfire.
1/22/1959,17:00,"Dabouk,Jordan",AirJordan,601,Jerusalem-Amman,ConvairCV-240-2,JY-ACB,55,15,11,4,10,6,4,0,Strucktreesduringapproachandcrashed2.8milesnorthwestofWadi-Es-Sir.Adverseweatherconditions.
02-03-1959,23:56,"LaGuardiaAirport,NewYork,NY",AmericanAirlines,320,Chicago-NewYorkCity,Lockheed188AElectra,N6101A,1015,73,68,5,65,63,2,0,"WhileattemptingtolandinrainandfogatLaGuardiaAirport,theaircraftdescendedbelowtheminimumaltitudeandcrashedintotheEastRiver.Theaircraftstruckthewaterwhileinshallowdescentat150mphwithitslandinggearandflapsextended.Primarilythecrashresultedfromthefailureofthecrewtoproperlymonitoressentialinstrumentsfordeterminingattitudeduetopreoccupationwithparticularaspectsoftheaircraftanditsenvironment.Limitedexperienceofthecrewwiththisparticulartypeofaircraft.Erroneoussettingofthecaptain'saltimeter.Possiblymisinterpretationofthealtimeterandrateofdescentindicator."
3/30/1959,23:46,"Alma,Georgia",RiddleAirlines,402,"Orlando,FL-Atlanta,GA",CurtissC-46A,N7840B,30242,2,0,2,2,0,2,0,"Thecargoplanelostcontrolafterafirebrokeoutinthecargohold.Theignitionofcargointheaftbellycompartmentcausedbycontactwithanunguardedlightbulb.Itisbelievedthefirethenbreachedthecompartmentwall,anddamagedahydraulicunitorlineinthewingcentersectionareaattherearspar.,ignitingtheflammablehydraulicfluid."
05-12-1959,16:13,"Chase,Maryland",CapitalAirlines,75,NewYorkCity-Atlanta,VickersViscount745D,N7463,287,31,27,4,31,27,4,0,"Disintegratedin-flightduetosevereturbulenceafterpenetratingathunderstorm.Icing.Afarmhandobservedalargechuckoficefallfromtheplanesecondsbeforethecrash.AsecondplanecrashinvolvingCapitalAirlinesoccurredatCharleston,WVonthissameday."
05-12-1959,15:29,"Charleston,WestVirginia",CapitalAirlines,983,Pittsburg-Charleston,LockheedC-69Constellation,N2735A,1978,44,38,6,2,1,1,0,"Thepilotintentionallygroundloopedtheaircraft,whichsliddownasteepembankmentcaughtfireandburned.Landingtoofastonawetrunwayunderconditionsconductivetoaquaplaning."
6/26/1959,17:35,"NearVarese,Lombardia,20milesNWofMilan,Italy",TransWorldAirlines,891,Milan-Paris,Lockheed1649AStarliner,N7313C,1015,68,59,9,68,59,9,0,"WhileflyingfromAthenstoChicago,theNo.6and7fueltanksintherightwingexplodedduringastorm.Ignitionofgasolinevaporsemanatingfromfueltankventpipesbystaticdischargeaftertheairlinerwashitbylightning."
8/15/1959,16:42,"Calverton,NewYork",AmericanAirlines,514,Training,Boeing707-123,N7514A,17641/36,5,0,5,5,0,5,0,Thecrewfailedtorecognizeandcorrectthedevelopmentofexcessiveyawwhichcausedanunintentionalrollingmaneuveratanaltitudetoolowtopermitcompleterecovery.
9/24/1959,17:20,"GreatSitkinIsland,Alaska",ReeveAleutianAirlines,3,Shemya-ColdBay-Adak-Anchorage,DouglasC-54B,N63396,10486,16,11,5,16,11,5,0,CrashedintoamountainwhileonapproachtoAdak.Improperapproach.Crewerror.Pilotdidnotflyinaccordancewithvisualflightrulesoverhazardousterrain.
9/29/1959,23:09,"Buffalo,Texas",BraniffAirlines,542,Houston-Dallas,Lockheed188AElectra,N9705C,1090,34,28,6,34,28,6,0,"In-flightseparationoftheleftwingresultedintheaircraftcrashing3milessoutheastofBuffalo,Texas.Adesignflawcausedanoscillationknownasmodetotransferpropellerwobbletotheoutboardnacelleswhichinducedflutterinthewingwhichledtotheseparationofthewing.Oneoftwoaccidentswiththesamecause.See3/17/1960."
10/23/1959,22:10,"NearMoscow,Russia",Aeroflot,200,Baku-Moscow,IlyushinIL-14P,CCCP-41806,6341709,28,23,5,28,23,5,0,"Crashedonapproach.Crew'shandlingoftheplaneledtoaprematurelossofaltitudeandcollisionwithobstacles.Crewfatigue,"
10/26/1959,20:18,"SantaMaria,California",PacificAirLines,308,LosAngeles-Oxnard-SantaMaria-PasoRobles,DouglasC-47A-DL,N67589,19656,19,17,2,1,0,1,1,"Momentsafterrotationtheleftengineexplodedandcaughtfire.Theelevatoroftheplanehita12,000voltpowerlineandcrashlandeduprightsliding65feet.Theonlyfatalitywasthefirstofficerwhowasthrownclearoftheaccidentstillstrappedtohisseat.Thenumber5cylinderoftheleftenginefailedleadingtoanexplosionthatdeformedtheleftengine'sringcowltoadegreethatcauseexcessivedragandbuffetingthatmadesustainedflightimpossible.Maintenancerecordsshowedtheenginehadatroublingnumberofoilleaks."
10/30/1959,20:40,"Waynesborough,Virginia",PiedmontAirlines,1349,"WashingtonDC-Charlottsville,VA",DouglasDC-3,N55V,20447,27,24,3,26,23,3,0,CrashedintoBucksElbowMountainduringanILSapproachtoCharlottesvilleAirport.Navigationalomissionresultinginanoffcourseapproach.Ittookthirty-sixhoursbeforethelonesurvivorwasrescued.Anavigationalomissionwhichresultedinalateralcourseerrorthatwasnotdetectedandcorrectedthroughprecisioninstrumentflyingprocedures.Acontributingfactortotheaccidentmayhavebeenpre-occupationofthecaptainresultingfrommentalstress.
10/30/1959,15:25,"Athens,Greece",OlympicAirways,214,Athens-Thessaloniki,DouglasDC-3,SX-BAD,9491,18,15,3,18,15,3,0,Enginefailureontakeoff.Theplanecrashed5minuteslater.FailureofthegudgeonpinbearingoftheNo.6pistonoftheleftengine.
11-04-1959,23:07,"St.Cleophas,Quebec,Canada",WheelerAirlines,1658,Montreal-HallLake,DouglasC-54A,CF-ILI,10360,5,0,5,5,0,5,0,Thecargoplaneexplodedinmidairwhileenrouteafteranenginefire.Thepossiblefailureofthefiredetectionandwarningsystemtoinformthepilotoftheexistenceofafirebeforeithadpenetratedthefirewallandignitedthefuelfeedsystemandoiltanktotherearofno.2engine.
11/16/1959,19:06,"Lvov,Ukraine,USSR",Aeroflot,315,Moscow-Kiev-Lvov,AntonovAN-10,CCCP-11167,9401402,40,32,8,40,32,8,0,"Lossofcontrolinicingconditionswhentheflapsweredownedto45?onapproach,apparentlyduetoanexcessiveaccumulationoficeonwingsandstabs.Thedistancebetweentheaircraftandthegroundwasinsufficienttoexpectarecovery."
11/16/1959,0:55,GulfofMexico,NationalAirlines,967,Tampa-NewOrleans,DouglasDC-7B,N4891C,45355,42,36,6,42,36,6,0,"TheaircraftcrashedintotheGulfofMexicoat29degrees13minutesN,88degrees40minutesWorabout108mileseast-southeastofNewOrleans,whileonaflightfromTampatoNewOrleans.Sabotage(explosionofadynamitebombaboard)wasstronglysuspectedbutcouldneverbeprovenduetolackofphysicalevidence.ThereisapossibilitythatthereisaconnectionbetweenthiscrashandtheNationalAirlinescrashofJanuary6,1960.Noonewaschargedineithercase."
11/24/1959,5:35,"Chicago,Illinois",TransWorldAirlines,595,Chicago-Denver-LosAngeles,LockheedL-1049HSuperConstellation,N102R,4824,3,0,3,3,0,3,8,"ShortlyaftertakingofftheplaneexperiencedafirewarningintheNo.2engine,shutitdownandattemptedtoreturntoMidwayAirport.Duringthefinalapproachtheaircraftbankedinexcessof45degreesanddevelopedanexcessivesinkrate.Whentheaircraftreachedthetopsoftreesitswingswerenearlylevelanditsnosewasraisedinaclimbingattitudebutthedescentcontinuedandtheplanecrashedonequarterofamilesoutheastoftheairport.Theaccidentwastheconsequenceofmanuveringtheaircraftduringtheturntofinalapproachinsuchamannerastocausearateofsinkfromwhichrecoverywasnotpossible.Sometimeduringtheturntheflapswereretractedfrom60%to24%causingalossoflift."
12-01-1959,9:47,"Willamsport,Pennsylvania",AlleghenyAirlines,371,Harrisburg-Willamsport,Martin202,N174A,9159,26,22,4,25,21,4,0,"CrashedintoBaldEagleMountain,13milessouthofWilliamsport,whileonanILSapproachtoWilliamsport.Probableaccidentalcagingofthefluxgatecompassleadingtoaerroneousheadingindication.Captain'sfailuretoexecuteatimelyabandonedapproach.Therewasonepassengerwhosurvived."
12/22/1959,13:40,"RiodeJaneiro,Brazil",VASP,233,RiodeJaneiro-SaoPaulo,VickersViscount827/FokkerT-21,PP-SRG/0742,401,32,26,6,32,26,6,10,"AmidaircollisiontookplacebetweenaVickersViscountandaBrazilianAirForceFokkerT-21trainer,astheViscountmadeanapproachtoland.Thepilotofthetrainerparachutedtosafety.All32aboardtheViscountwerekilledwhenitcrashedintoseveralhousesinthedistrictofRamos.Failureofbothpilotstoseeandavoideachother.Apparently,thepilotofthetraineraircraftwasnotsupposedtocrosstheapproachpathoftheViscount."
12/24/1959,5:00,"Palembang,Indonesia",GarudaIndonesiaAirlines,330,Palembang-Jakarta,DouglasC-47A,PK-GDV,13535,2,0,2,1,0,1,0,"ShortlyaftertakeoffthecargoplanelosttheNo.2engine,triedtoreturntotheairportbutcrashed.Failureoftherightengine,alackofprecautiononthepartofthecaptainandmarginalweather.Acontributingfactormayhavebeentheoverloadedconditionoftheaircraft,however,nottosuchanextentthatitforcedtheaircrafttodescendtoadangerouslylowaltitude."
01-06-1960,2:38,"Wilmington/Bolivia,NorthCarolina",NationalAirlines,2511,NewYork-Miami,DouglasDC-6B,N8225H,43742/300,34,29,5,34,29,5,0,"Theplanedisintegratedinflightat18,000feetandcrashed1.5milesnorthwestofBolivia,NorthCarolina.Detonationofadynamitebombbymeansofdrycellbatteries,inthevicinityofrow7,inthepassengercabin.Theplanecontinuedtoflyforashorttimeafterwhichthefuselagecameapartandtheplanecrashedinaballofflames.JulianFrank,whohadpurchased1milliondollarsininsurance,wassuspectedofcommittingsuicidebydetonatingthebombinhislaporunderhisseat.ThereisapossibilityFrankmayhavebeenanunwittingbombcarrierandthatthisbombinghassomethingtodowiththeNationalAirlinescrashofNovember,16,1959.Noonewaschargedineithercase."
1/18/1960,22:19,"CharlesCity,Virginia",CapitalAirlines,20,WashingtonD.C.-Norfolk,VickersViscount745D,N7462,217,50,46,4,50,46,4,0,"Theaircraftcrashedandburnedinawoodedarea,strikingthegroundinalevelattitude.Thedelayedarmingoftheengineice-protectionsystemswhileflyingthroughicingconditions,causingeventualflame-outofthefourengines.Thisconditionexistedforsufficienttimetocauseadropinbatteryelectricalenergy,preventingtheunfeatheringandrelightingofsufficientenginestomaintainflight.Theaircraftwasthendivedinanefforttoattainsufficientairspeedtodrivethepropellersoutofthefeatheredpositionsbywind-milling.Atthesametime,multipleattemptsweremadetorelightoneormoreengines.Successfulrelightswereeitherinterruptedbyauto-featheractioninitiatedbyprematureadvancingofthethrottlespriortocompletelightupofanengineorpreventedbyinsufficientbatteryelectricalenergy.No.4enginewaseventuallyrelitandthecrewhadjustsuccessfullyrelitNo.3enginewhentheaircraftcrashed."
1/19/1960,18:47,"Ankara,Turkey",ScandinavianAirlines(SAS),871,Istanbul-Ankara,SudAviationCaravelle1,OY-KRB,014/14,42,35,7,42,35,7,0,"WhileonaflightfromIstanbultoAnkara,TurkeytheaircraftcrashedwhileonapproachtoEsenbogaAirport,6nmshortoftherunway.Theaircraftstruckthegroundatanelevationof3,500ft,betweentheAnkaramountainrangeandtheairport.AnunintentionaldescentbelowtheauthorizedminimumflightaltitudeduringfinalapproachtoEsenbogaAirportforreasonsthatcouldnotbedetermined.Theaircraftwasnamed""OrmViking."""
2/26/1960,16:57,"Lvov-Snilow,Ukraine",Aeroflot,315,Moscow-Kiev-Lviv,Antonov10A,CCCP-11180,9401801,33,25,8,32,24,8,0,Theplanecrashedintoaswampshortoftherunwaythreshold.Icingofthehorizontalstabilizer.
3/17/1960,15:25,"NearCannelton,10mileSEofTellCity,Indiana",NorthwestOrientAirlines,710,Chicago-Miami,Lockheed188CElectra,N121US,1057,63,57,6,63,57,6,0,Anin-flightseparationofthewing.Adesignflawcausedanoscillationknownaswhirlmodetotransferpropellerwobbletotheoutboardnacelleswhichinducedflutterinthewingwhichledtotheseparationofthewing.Reducedstiffnessofthestructureandtheentryoftheaircraftintoanareaofsevereclearairturbulencewerecontributingfactors.Oneoftwocrasheswiththesamecause.See9/29/59.
3/19/1960,11:10,"Cordoba,Colombia",SAMSA,901,SanAndres-Medellin,CurtissC-46,HK-516,2927/384,46,42,4,25,22,3,0,"Forcedlandingafterenginefailure.Theaccidentwasattributedtoanerrorinjudgmentbythepilotindecidingtolandatanairportwhichwasclosedandwherenoradioaidwasavailable.Contributingfactorswereintermittentoverspeedingofpropellers,adverseweatherandnocommunicationtower."
4/19/1960,20:48,"Bogota,Colombia",LloydAereoColombiano,503,Miami-Medellin-Bogota,CurtissC-46,HK-390,32954,51,44,7,37,31,6,0,Crashedduringfinalapproach.Thepilotfailedtotakeproperactiontocounteractthelossofspeedandheightinthefinalapproachturn.Lackofpilotexperience.
06-10-1960,10:55,"NeaTkvarcheli,Georgia",Aeroflot,207,Kutaisi-Rostov-on-Don,IlyushinIL-14P,CCCP-91571,7343107,31,24,7,31,24,7,0,Theplanecrashedinhillsidewoodswhileenroute.Poororganizationandoverseeingthepreparationoftheflightbythecrew.
06-10-1960,22:05,"OffMackay,Qld.Australia",TransAustraliaAirlines,538,Rockhampton-MacKay,FokkerF-27Friendship100,VH-TFB,10112,29,25,4,29,25,4,0,"Theflightcrashedintothesea,7.5milesfromtheairportafterbeinginaholdingpatternwaitingforfogtolift.Causecouldnotbedetermined."
6/14/1960,4:47,"Mt.Gilbert,Alaska",PacificNorthernAirlines,201,Cordova-Anchorage,Lockheed749A-79-32Constellation,N1554V,2555,14,9,5,14,9,5,0,"TheaircraftfailedtomaintainitsintendedflightpathandcrashedintothefaceofMt.Gilbertat9,646ft.aftertakingofffromCordova.Thecrew'sfailuretouseallavailablenavigationalaidsinestablishingtheaircraft'spositiononAmberIAirwaytherebyallowingtheaircrafttoproceedoffcourseoverdangerousterrain.Acontributingfactortotheaccidentwasthefailureofairdefenseradar,whichhadbeentrackingtheaircraft,tonotifyeitherARTCCorthecrewthattheaircraftwasproceedingonadangerouscourse."
7/15/1960,9:40,"NearJima,Ethiopia",EthiopianAirlines,372,Bulchi-Jimma,DouglasDC-3,ET-T-18,12926,11,8,3,1,0,1,0,"Crashedontoamountainsideat9,000ft.ThepilotmisjudgedtheweatherconditionsandcontinuedtoflyintodeterioratingweatherconditionswhiletryingtomaintainVFR.Thepilotattemptedtoclimbataspeedbelowtheminimumsafeclimbingspeedoftheaircraft."
7/20/1960,12:30,"NearSyktyvkar,Russia",Aeroflot,613,Leningrad-Syktyvkar,IlushinIL-14,CCCP-61696,147001035,23,19,4,23,19,4,0,Brokeupinmidairafterflyingthroughathunderstormandexperiencingheavygloads.
8/17/1960,15:58,"NearKiev,Ukraine",Aeroflot,36,Cairo-Moscow,IlyushinIL-18B,CCCP-75705,189001702,34,27,7,34,27,7,0,WhileenroutetheNo.4.enginecaughtfire.Thefireextinguishingsystemwasineffectiveandthefirespreadtothewingafterwhichthefueltanksexplodedandtheplanecrashed.
8/29/1960,6:47,"OffDakar,Senegal",AirFrance,343,Paris-Dakar-Monrovia-Abidjan,Lockheed1049GSuperConstellation,F-BHBC,4622,63,55,8,63,55,8,0,"TheaircraftcrashedintotheAtlanticOceanafteranunsuccessfullandingattempt.Causeundetermined.Possiblestructuralfailureorlossofcontrolduetoturbulence,sensoryillusionordistractionoftheflightcrewwhichcouldhavebeenassociatedwithalightningstrike."
09-02-1960,17:10,"NearZikhnovo,Russia",Aeroflot,804,"	Arkhangelsk-	Cherepovets",IlyushinIL-14P,CCCP-04200,147001418,18,13,5,18,13,5,0,TheplaneflewintothesideofMt.Belayainpoorweather.Crewflewbelowminimums.
09-07-1960,9:40,"NearSalto,Uruguay",AerolineasArgentinas,205,Asuncion-BuenosAires,DouglasDC-6,LV-ADS,43031/127,31,25,6,31,25,6,0,"Crashedinastorm.Separationofpropellerfollowedbydisintegrationoftheaircraft.OverspeedingofNo.3propellercausedbyirregularoperationofthepropellergovernor,detachmentofthatpropellerandimpactwiththatofNo.4engine,followedbydisintegrationoftheaircraft."
9/19/1960,6:02,"Agana,Guam,MarianaIslands",WorldAirways,830/18,Guam-WakeIsland,DouglasDC-6AB,N90779,44914/646,94,86,8,80,73,7,0,"TheaircraftwascarryingAmericanservicemenanddependants.Lessthanaminuteaftertakingoff,theaircraftcrashedonMt.Barrigadaburstingintoflamesonimpact.Thecasualtiesweremoreattributabletotheeffectsofthefirethanthecrash.Failureofthepilottocomplywithpublisheddepartureproceduresbyinitiatingarightturnbeforeattaininganaltitudeof1,000ft."
9/26/1960,23:40,"Moscow,Russia",AustrianAirlines,901,Warsaw-Moscow,VickersViscount837,OE-LAF,437,37,31,6,31,26,5,0,"CrashedonapproachtoMoscow,11nmshortoftherunway.Malfunctioningormisreadaltimeter."
9/29/1960,12:15,"OffElba,Italy",UnitedArabAirlines,738,Geneva-Rome,VickersViscount739B,SU-AKW,427,21,17,4,21,17,4,0,CrashedintotheTyrrhenianSeaoffElbaafterpenetratingseverethunderstorm.
10-04-1960,17:40,"Boston,Massachusetts",EasternAirLines,375,Boston-Philadelphia,Lockheed188AElectra,N5533,1062,72,67,5,62,59,3,0,"Afewsecondsafterbecomingairborne,theaircraftstruckaflockofstarlings.AnumberofthesebirdswereingestedinenginesNo.1,2,and4.EngineNo.1wasshutdownanditspropellerwasfeathered.EnginesNo.2and4experiencedasubstantialmomentarylossofpower.Thisabruptandintermittentlossandrecoveryofpowerresultedintheaircraftyawingtotheleftanddeceleratingtothestallspeed.Asspeeddecayedduringthecontinuedyawandskiddingleftturn,thestallspeedwasreached;theleftwingdropped,thenosepitchedup,andtheaircraftrolledleftintoaspinandfellalmostverticallyintothewater.Analtitudeoflessthan150feetprecludedrecovery."
10/14/1960,15:50,"Elba,Italy",Itavia,115,Rome-Genoa,deHavillandDH-114Heron2,I-AOMA,14090,11,7,4,11,7,4,0,HitMt.Capannewhileenroute.Causeunknown.
10/21/1960,21:14,"Ust-Orda,Russia",Aeroflot,5,Moscow-Omsk-Irkutsk-Khabarovsk,TupolevTu-104A,CCCP-42452,96601701,3,0,3,3,0,3,0,Crashedafteraprematuredescent.Thedecisionbythecaptaintoperformago-aroundwasccrrectbuttheverylowpassabovetherunwaywasunacceptable.
10/28/1960,11:39,"NearMissoula,Montana",NorthwestOrientAirlines,104,Spokane-Missoula,DouglasC-54A-DC,N48762,10320,12,8,4,12,8,4,0,"CrashedintomountainsinsnowshowerswhiledescendingtoMissoula.Theaircraftenteredasteepleftbankingturnandthenosewasraisedinanapparentattempttoturnandclimboutthroughanintersectingvalley,however,theaircraftcontinuedtosinktowardtheground,rolledtotheleftandcrashedinverted.ThefailureofthepilottocontinueinaccordancewithhisIFRflightplanbyattemptingaVFRapproachduringinstrumentweatherconditions."
11/23/1960,18:45,"Manila,Philippines",PhilippineAirLines,26,Iloilo-Manila,DouglasDC-3,PI-C133,13397,33,29,4,33,29,4,0,CrashedintoMt.Bacowhileenroute.Navigationalerrorunderadverseweatherconditions.
12-04-1960,22:53,"Chernovo,Russia",Aeroflot,81,"	Syktyvkar-Moscow",Ilyushin14M,"	CCCP-52091",7342905,14,9,5,14,9,5,0,Therightenginecaughtfire.Thecrewinitiatedanemergencydescentfromwhichtherightwingbrokeoffcausingtheaircrafttocrash.
12/16/1960,10:33,"StatenIsland/Brooklyn,NewYork",UnitedAirLines/TransWorldAirlines,826/266,Chicago-NewYorkCity/Columbus-NewYorkCity,MDDC-8-11/Lockheed1049SConst,N8013U/N6907C,45290/4021,128,116,12,128,116,12,6,"AmidaircollisiontookplaceoverStatenIslandat5,000ft.TheConniewasclearedtolandatLaGuardiaAirportonRunway04whentheUnitedDC-8strucktheConnietearingitapart.TheConnieimmediatelycrashedtothegroundatMillerArmyAirFieldonStatenIsland.OnepassengerwassuckedoutintooneoftheDC8sjetengines.OtherpassengersfellfromtheConnieasthespinningfuselagefellontoStatenIsland.TheUnitedjettriedtomakeanemergencylandingatLaGuardiaAirportbutcouldnotmaintainaltitudeandcrashedintothestreetsofBrooklyn.Forty-fourpassengersontheConstellationandeight-fourpassengersontheDC-8werekilled.ThreepassengersfromtheDC-8diedshortlyafter.Oneyoungboy,StephenBaltzsurvivedseveraldaysbeforesuccumbingtohisinjuries.Sixpeoplewerealsokilledontheground.TheUnitedcrewenteredalow-altitudeholdingpatternat500milesperhour,twicethespeeditshouldhavebeengoingandflewpasttheclearancelimitsandairspaceallocatedtotheflight.Oneof2VORsontheDC-8wasnotfunctioning.Althoughthecrewknewthis,theyfailedtoreportthistotheATC,whoprobablywouldhaveprovidedextraradarassistance."
12/22/1960,12:31,"CebuCity,Philippines",PhilippineAirLines,S85,Cebu-Davao,DouglasDC-3,PI-C126,20593,37,34,3,28,26,2,0,Crashedontakeoff.FailureoftheNo.1engineshortlyaftertake-offbutafterV2.Inappropriateemergencyproceduresbycrew.
12/26/1960,19:42,"NearUlyanovsk,Russia",Aeroflot,651,Kuibyshev-Ulyanovsk,IlyushinIL-18A,CCCP-75651,188000405,17,13,4,17,13,4,0,Lossofcontrolresultedafter40degreesflapswasselectedcausingtheplanetocrash.Icing.
01-03-1961,7:40,"Koivulahti,Finland",Finnair,311,Kokkola-Vaasa,DouglasDC-3,OH-LCC,14066/25511,25,22,3,25,22,3,0,"Crashedintowoodswhileattemptingtoland.Bothpilotstestedpositiveforalcohol.Inaddition,thepilotdidnothaveenoughsleepthenightbeforeandwasnotconsideredtobeinsatisfactorymentalandphysicalconditiontoundertaketheflight."
1/19/1961,20:25,"NewYork,NewYork(Idlewild)",AeronavesdeMexico,401,NewYork-MexicoCity,McDonnellDouglasDC-8-21,XA-XAX,45432/105,106,97,9,4,0,4,0,"Anabortedtakeoffcausedtheaircrafttocrashthroughtheairportbarrierfenceandburstintoflames.Theunnecessarydiscontinuanceofthetakeoffasaresultofactionsbythecheck-pilotwhowaseithernotinthepilot'sseatorreachedforwardwithoutwarningandpullingthethrottlesback.Thisactioncausedpowertobedecreasedonallfourengines.Contributingfactorswerethemarginallypoorweather,snowontherunwayandthepossibilityofthepitotheadheatnotbeingon."
1/24/1961,10:48,"Mt.Burangrang,Indonesia",GarudaIndonesiaAirlines,424,Jakarta-Bandung,DouglasDC-3,PK-GDI,19672,21,16,5,21,16,5,0,TheaircraftstruckMt.Burangrang.Attemptbythepilottoflyovermountainousterrainwhenunsureofhispositionandinweatherconditionswhichseverelyrestrictedvisibility.
02-03-1961,23:55,"OffSurabaya,Indonesia",GarudaIndonesiaAirlines,542,Surabaya-Balikpapan,DouglasDC-3,PK-GDY,13052,26,21,5,26,21,5,0,Disappearedwhileenroute.Thewreckagewasneverfound.ItisbelievedtheaircraftcrashedintotheseaofftheislandofMadura.
2/15/1961,10:05,"NearBrussels,Belgium",Sabena,548,NewYorkCity-Brussels,BoeingB-707-320,OO-SJB,17624/92,72,61,11,72,61,11,1,"Theaircraftwasabouttotouchdownontherunwaywhenenginepowerwasincreasedandtheaircraftclimbedto1,500ft.Theaircraftcompleted3left-handcircles.Itsattitudeincreaseduntilitnoseddownandcrashed.TheentireeighteenmemberU.S.FigureSkatingteamkilled.Failureoftheaircraft'sflyingcontrols,possiblyjammingoftheoutboardaileronsorunwantedextensionofthespoilers."
04-03-1961,23:57,"Llico,Chile",LAN,210,Temuco-Santiago,DouglasDC-3,CC-CLD-P210,9716,24,20,4,24,20,4,0,TheplanecrashedintoLaGoteraHillwhileonapproachtoSantiago.Theofficialcauseisunknown.Icingsuspected.AllmembersoftheGreenCrossChileansoccerteamkilled.Wreckagefound54yearsaftertheaccident.
05-10-1961,1:12,"Ghadames,Algeria",AirFrance,406,"FortLamy,Chad-Marseilles,France",Lockheed1649AStarliner,F-BHBM,1027,78,69,9,78,69,9,0,"WhileenroutefromFortLamy,ChadtoMarseilles,France,theairlinercrashedandburnedintheSaharaDesertontheAlgeria/Libyaborder.Detonationofanitrocellulosebomb."
5/30/1961,1:20,"NearLisbon,Portugal",KLMRoyalDutchAirlines,897,"Rome-Lisbon-Madrid-SantaMaria,Azores-Caracas",McDonnellDouglasDC-8-53,PH-DCL,45615,61,47,14,61,47,14,0,"FiveminutesaftertakingofffromLisbon,Portugal,theaircraftplungedintotheAtlanticOcean.Therewereindicationsfromthewreckagethattheaircraftwentintoaspiraldiveandhitthewateratover500mph.Eitherthroughinattentivenessorlossofanartificialhorizonorotherinstrumentmalfunction,theaircraftwentintoasteepleftbankfromwhichrecoverywasnotpossible.Attitudeoftheaircraftatthemomentofimpactpointedtoovercorrection."
06-12-1961,4:11,"Cairo,Egypt",KLMRoyalDutchAirlines,823,Rome-Cairo,LockheedL-188CElectra,PH-LLM,2019,36,29,7,20,17,3,0,"Crashedintoahillatnightduringtheapproach,4kmshortoftherunway.Crew'sneglecttocockpitduties.Pilot'sinattentiontohisinstruments."
07-08-1961,19:00,"	Sverdlovsk,Russia",Aeroflot,411,"	Kazan-	Sverdlovsk",IlyushinIL-14P,CCCP-41848,6341706,26,21,5,9,4,5,0,Theplaneranoutoffuelandcrashlanded.CrewdidnotrefuelatKazan.
07-10-1961,10:43,"Odessa,Ukraine,USSR",Aeroflot,381,Leningrad-Odessa,TupolevTU-104B,CCCP-42447,921004,85,76,9,1,1,0,0,Hitapporachlightswhiletryingtolandinheavyrain.
